th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    1.084549 	     0.361512 	  -6.71521373 
    1.084549 	     0.542275 	   -6.7149363 
    1.084549 	     0.723037 	  -6.71481832 
    1.084549 	     0.813418 	  -6.71477334 
    1.084549 	     0.976099 	  -6.71473173 
    1.084549 	     1.084549 	  -6.71474827 
    1.084549 	     1.192995 	  -6.71460019 
    1.084549 	     1.446017 	  -6.71438457 
    1.084549 	     1.626726 	  -6.71432659 
    1.084549 	     1.807414 	   -6.7142838 
    1.084549 	     2.168710 	  -6.71422928 
    1.084549 	     2.710402 	  -6.71419413 
