th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    2.004628 	     0.668179 	  -6.71476686 
    2.004628 	     1.002314 	  -6.71445268 
    2.004628 	     1.336449 	   -6.7142436 
    2.004628 	     1.754083 	   -6.7141373 
    2.004628 	     1.904410 	  -6.71415659 
    2.004628 	     2.004628 	  -6.71419955 
    2.004628 	     2.104830 	  -6.71409733 
    2.004628 	     2.255130 	  -6.71399766 
    2.004628 	     2.338626 	   -6.7139642 
    2.004628 	     2.505593 	  -6.71392067 
    2.004628 	     2.672534 	  -6.71388915 
    2.004628 	     3.006329 	   -6.7139028 
