th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    2.004628 	     0.668179 	  -6.71442841 
    2.004628 	     1.002314 	   -6.7141331 
    2.004628 	     1.336449 	  -6.71400368 
    2.004628 	     1.754083 	  -6.71393815 
    2.004628 	     1.904414 	   -6.7139589 
    2.004628 	     2.004628 	  -6.71399783 
    2.004628 	     2.104836 	  -6.71391729 
    2.004628 	     2.255134 	  -6.71384406 
    2.004628 	     2.338626 	  -6.71382218 
    2.004628 	     2.505593 	  -6.71379336 
    2.004628 	     2.672534 	  -6.71380998 
    2.004628 	     3.006329 	  -6.71379555 
