th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    1.084549 	     0.271131 	   -6.7156505 
    1.084549 	     0.361512 	  -6.71553891 
    1.084549 	     0.542275 	  -6.71536221 
    1.084549 	     0.723037 	  -6.71517439 
    1.084549 	     0.813418 	  -6.71510975 
    1.084549 	     0.976099 	  -6.71506688 
    1.084549 	     1.084549 	   -6.7150814 
    1.084549 	     1.192995 	  -6.71490409 
    1.084549 	     1.446017 	  -6.71463547 
    1.084549 	     1.626726 	  -6.71453491 
    1.084549 	     1.807414 	  -6.71446425 
    1.084549 	     2.168710 	  -6.71437432 
    1.084549 	     2.710402 	  -6.71442573 
