th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    2.004628 	     0.668179 	  -6.71426414 
    2.004628 	     1.002314 	  -6.71401375 
    2.004628 	     1.336449 	  -6.71384361 
    2.004628 	     1.754083 	  -6.71376827 
    2.004628 	     2.004628 	  -6.71380944 
    2.004628 	     2.104836 	  -6.71374138 
    2.004628 	     2.255134 	  -6.71368017 
    2.004628 	     2.338626 	  -6.71366241 
    2.004628 	     2.505593 	  -6.71363751 
    2.004628 	     2.672534 	  -6.71361703 
    2.004628 	     3.006329 	  -6.71364173 
