th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    1.084549 	     0.271131 	   -6.7150772 
    1.084549 	     0.361512 	  -6.71493573 
    1.084549 	     0.542275 	  -6.71473528 
    1.084549 	     0.722865 	  -6.71449397 
    1.084549 	     0.813418 	   -6.7144823 
    1.084549 	     0.946099 	   -6.7144364 
    1.084549 	     1.084549 	  -6.71444655 
    1.084549 	     1.192995 	  -6.71430374 
    1.084549 	     1.446017 	  -6.71409651 
    1.084549 	     1.626726 	  -6.71403811 
    1.084549 	     1.807414 	  -6.71397193 
    1.084549 	     2.168710 	  -6.71396046 
    1.084549 	     2.710402 	  -6.71391286 
