x           y           stackinginfo
0.0 0.0 0
2.17383035324917 1.24555286485629 0
4.34728316294728 2.49179115383661 0
6.52053421007735 3.73840774269111 0
8.69375105783869 4.98510905499202 0
10.8670968473221 6.23160862213639 0
13.0407344085648 7.47761992923435 0
15.2148303038257 8.72284915829207 0
17.3895583903018 9.96698838085147 0
19.5651024582591 11.209709589273 0
21.741657322625 12.4506599119683 0
23.9194272604106 13.6894585980617 0
26.0986201534406 14.9256965413345 0
28.2794353752575 16.1589392974309 0
30.462044246874 17.3887349066466 0
32.6465655411747 18.614628883232 0
34.8330466350218 19.8361912570539 0
37.0214707975075 21.0530640478924 0
39.2118104734979 22.2650369896808 3
41.4041188842805 23.4721454859913 3
43.5986031192594 24.6747564105718 3
45.7955965045429 25.873585807298 1
47.9953939479618 27.0696101744123 1
50.1980146816279 28.2638941881216 1
52.4030220363051 29.4574170274506 1
54.6094889605981 30.6509742299975 1
56.816110608545 31.845171638226 1
59.021444950528 33.0404923980081 1
61.2242400416878 34.2374041143785 1
63.4237280445813 35.4364614756142 1
65.6197635421206 36.6383388245459 1
67.8127395005858 37.8437562827857 1
70.003318440868 39.0533332240861 1
72.1921305352574 40.2674474711971 5
74.379586974194 41.4861668942369 5
76.5658582573979 42.7092702475296 5
78.7509662252982 43.936328977963 2
80.9349004165875 45.1668047389751 2
83.1176957134881 46.4001281762331 2
85.299456641017 47.635746641272 2
87.4803459309929 48.8731453777258 2
89.6605609924487 50.1118524141736 2
91.8403131412989 51.351435659249 2
94.0198143486682 52.5914972215429 2
96.1992705247677 53.8316675439951 2
98.3788785549568 55.0716008084846 2
100.558824561347 56.310972569269 2
102.739282207311 57.5494795850527 2
104.920410293141 58.7868419119941 2
107.102348951789 60.0228078630297 2
109.285214986216 61.2571606456854 2
111.46909784143 62.4897244545019 2
113.654057077029 63.7203688315776 2
115.840121209026 64.9490118879276 2
118.027286461694 66.1756238331913 2
120.215514096411 67.4002325657971 2
122.404725628234 68.6229327282717 2
124.594796757993 69.8438968433222 2
126.78555297588 71.0633839225042 2
128.976770194949 72.2817401329529 2
131.168182608517 73.4993878255623 2
133.359497446579 74.7168025429561 2
135.55041502553 75.9344798801364 2
137.740652008211 77.1528959726128 2
139.929964950161 78.3724665455423 4
142.118170617329 79.593510505281 4
144.305159177848 80.8162248685796 4
146.490897041708 82.0406766508021 0
148.675418502934 83.2668148424893 0
150.858807956201 84.4945004307263 0
153.041177810063 85.7235459905263 0
155.222649959081 86.9537499867317 0
157.403346215236 88.1849149034501 0
159.58338566675 89.4168522310225 0
161.762885882723 90.6493798234947 0
163.941966163205 91.8823150752823 0
166.120751238625 93.1154670411282 0
168.299374331568 94.348629765964 0
170.477978875553 95.581578318501 0
172.65671841118 96.8140683834948 0
174.835754417501 98.0458401574158 0
177.015251787145 99.2766270087349 0
179.195371761573 100.506169048289 0
181.376262402297 101.734231339275 0
183.558047203273 102.960625350387 0
185.740813699313 104.185229568421 0
187.924604981637 105.408003905357 0
190.109416326626 106.628994424132 0
192.295197810678 107.848327540631 0
194.481862605516 109.066194832129 0
196.669299041377 110.282831739329 0
198.857383531941 111.498495494178 0
201.045993575989 112.713445023311 0
203.235022229873 113.927920499299 0
205.424388377423 115.142129878667 0
207.614041387402 116.356244590601 0
209.803964336626 117.570395805414 0
211.9941756127 118.784666766783 3
214.184727070129 119.999083819158 3
216.375698360127 121.213610958901 3
218.567187666375 122.428151868036 3
220.759301004458 123.642559634517 1
222.952142825124 124.8566509769 1
225.145809527882 126.070221088451 1
227.340385445036 127.283057251731 1
229.53593890529 128.494952573597 1
231.732514793729 129.705723831145 1
233.930120344478 130.915239012848 1
236.128704846509 132.123455887823 1
238.328143826057 133.330458173744 1
240.528231145171 134.536477921566 1
242.728682036569 135.741893869009 1
244.929150368325 136.947203461886 1
247.129254125658 138.152980074285 1
249.328598024414 139.359831545822 1
251.52679338673 140.568363952206 5
253.72348004606 141.779145565497 5
255.918350382501 142.992668433199 5
