rcut(Angstrom)   ang12(deg)  ang32(deg)   # of atom      E_init(eV)     E_final(eV)


 6     2.004628        2.004628       4902         -58373.2415352393  -58380.6585685726
 8     2.004628        2.004628       4902         -58373.2403688526  -58380.6584632661
10     2.004628        2.004628       4902         -58373.2413718278  -58380.6585936831
12     2.004628        2.004628       4902         -58373.2407476374  -58380.6584920063
14     2.004628        2.004628       4902         -58373.2394214791  -58380.6578755611
16     2.004628        2.004628       4902         -58373.2403115623  -58380.6576634871
18     2.004628        2.004628       4902         -58373.2436084395  -58380.6596188375
20     2.004628        2.004628       4902         -58373.2425809149  -58380.6582261383
