rcut(Angstrom)   ang12(deg)  ang32(deg)   # of atom      E_init(eV)     E_final(eV)
 4     2.004628        2.004628       4902         -58373.2416785609  -58380.6530702174
 6     2.004628        2.004628       4902         -58373.2370707019  -58380.6552211177
 8     2.004628        2.004628       4902         -58373.2212239165  -58380.645701208
10     2.004628        2.004628       4902         -58373.2338168649  -58380.6457410684
12     2.004628        2.004628       4902         -58373.2296404635  -58380.6462093163
14     2.004628        2.004628       4902         -58373.215130605  -58380.6398619347
16     2.004628        2.004628       4902         -58373.2231233031  -58380.6394108398
18     2.004628        2.004628       4902         -58373.2500928236  -58380.6568491442
20     2.004628        2.004628       4902         -58373.2360995745  -58380.6430723421
