0.00     0.00        -32905.0227581     -32912.9025179      -32912.902518

0.00     0.02        -32905.0227583     -32912.8946568     -32912.8946568

0.00     0.04        -32905.0227581     -32912.8717169     -32912.8717179

0.00     0.06        -32905.0227582     -32912.8342991     -32912.8343007

0.00     0.08        -32905.0227582     -32912.7820165     -32912.7820181

0.00     0.10        -32905.0227583     -32912.7150149     -32912.7150166

0.00     0.12        -32905.0227583     -32912.6339348      -32912.633935

0.00     0.14        -32905.0227582     -32912.6172042     -32912.6172054

0.00     0.16        -32905.0227582     -32912.5036419     -32912.5036423

0.00     0.18        -32905.0227584     -32912.3786731     -32912.3786733

0.00     0.20        -32905.0227583     -32912.2095649     -32912.2095652

0.00     0.22        -32905.0227583     -32912.1034015      -32912.103402

0.00     0.24        -32905.0227581     -32911.9624753     -32911.9624757

0.00     0.26        -32905.0227582     -32911.8183313     -32911.8183324

0.00     0.28        -32905.0227582     -32911.7091455      -32911.709146

0.00     0.3        -32905.0227583     -32911.6332934     -32911.6332936

0.00     0.30        -32905.0227583     -32911.6332934     -32911.6332936

0.00     0.32        -32905.0227581     -32911.5964053     -32911.5964059

0.00     0.34        -32905.0227581     -32911.5914592     -32911.5914605

0.00     0.36        -32905.0227581     -32911.6057352     -32911.6057358

0.00     0.38        -32905.0227581     -32911.6293166     -32911.6293173

0.00     0.40        -32905.0227582     -32911.6549888     -32911.6549896

0.00     0.42        -32905.0227581     -32911.6797105     -32911.6797114

0.00     0.44        -32905.0227581     -32911.7018423     -32911.7018429

0.00     0.46        -32905.0227581     -32911.7177422     -32911.7177428

0.00     0.48        -32905.0227582     -32911.7278967      -32911.727897

0.00     0.50        -32905.0227582     -32911.7310108     -32911.7310111

0.00     0.52        -32905.0227582     -32911.7278747     -32911.7278754

0.00     0.54        -32905.0227581     -32911.7180121     -32911.7180125

0.00     0.56        -32905.0227583     -32911.7022904     -32911.7022907

0.00     0.58        -32905.0227582     -32911.6806705     -32911.6806714

0.00     0.60        -32905.0227582     -32911.6565317     -32911.6565324

0.00     0.62        -32905.0227581     -32911.6307274      -32911.630728

0.00     0.64        -32905.0227582     -32911.6064656     -32911.6064662

0.00     0.66        -32905.0227583     -32911.5924813     -32911.5924818

0.00     0.68        -32905.0227582     -32911.5962729     -32911.5962734

0.00     0.70        -32905.0227581     -32911.6327673     -32911.6327681

0.00     0.72        -32905.0227581     -32911.7096592     -32911.7096599

0.00     0.74        -32905.0227582     -32911.8200145     -32911.8200152

0.00     0.76         -32905.022758     -32911.9482797     -32911.9482804

0.00     0.78         -32905.022758     -32912.0838537      -32912.083854

0.00     0.80         -32905.022758     -32912.2418728     -32912.2418733

0.00     0.82        -32905.0227581     -32912.3749429     -32912.3749439

0.00     0.84        -32905.0227581     -32912.5000115     -32912.5000122

0.00     0.86        -32905.0227581     -32912.6133067     -32912.6133076

0.00     0.88         -32905.022758     -32912.7139068     -32912.7139079

0.00     0.90         -32905.022758      -32912.800575     -32912.8005761

0.00     0.92         -32905.022758     -32912.8725968     -32912.8725971

0.00     0.94        -32905.0227582     -32912.9292728     -32912.9292735

0.00     0.96        -32905.0227581     -32912.8712251      -32912.871226

0.00     0.98         -32905.022758     -32912.8937314     -32912.8937317

0.00     1.00        -32905.0227581     -32912.9025179      -32912.902518

0.04     0.00        -32905.0227582     -32912.8920223     -32912.8920256

0.04     0.02        -32905.0227582     -32912.8842577      -32912.884258

0.04     0.04        -32905.0227581     -32912.8616932     -32912.8616944

0.04     0.06        -32905.0227582     -32912.8243334      -32912.824335

0.04     0.08        -32905.0227583       -32912.77199     -32912.7719918

0.04     0.10        -32905.0227582     -32912.7050445     -32912.7050462

0.04     0.12        -32905.0227581     -32912.6240378     -32912.6240379

0.04     0.14        -32905.0227581     -32912.6074318     -32912.6074329

0.04     0.16        -32905.0227582     -32912.4938574     -32912.4938584

