0.00  0.00     -61013.1013536014  -61025.7143929169   -61025.714392917
 
0.00  0.03     -61013.1013532194  -61025.6960420984  -61025.6960420984
 
0.00  0.06     -61013.1013533012   -61025.637411437   -61025.637411437
 
0.00  0.09      -61013.101353542  -61025.5337068026  -61025.5337068026
 
0.00  0.12     -61013.1013530931  -61025.3809619892  -61025.3809619892
 
0.00  0.15     -61013.1013532076  -61025.1764372738  -61025.1764372738
 
0.00  0.18     -61013.1013533338  -61024.9190554063  -61024.9190554063
 
0.00  0.21     -61013.1013531985  -61024.6099437923  -61024.6099437923
 
0.00  0.24     -61013.1013534281  -61024.2532985285  -61024.2532985285
 
0.00  0.27     -61013.1013534864  -61023.8575584091  -61023.8575584091
 
0.00  0.3     -61013.1013535304      -61023.437283      -61023.437283
 
0.00  0.33     -61013.1013531461   -61022.983385386  -61022.9833853859
 
0.00  0.36     -61013.1013534618  -61023.2710768044  -61023.2710768044
 
0.00  0.39     -61013.1013536275  -61023.6267204555  -61023.6267204555
 
0.00  0.42     -61013.1013532336  -61023.9705170132  -61023.9705170132
 
0.00  0.45     -61013.1013532108  -61024.2904835252  -61024.2904835252
 
0.00  0.48     -61013.1013534519  -61024.5814257274  -61024.5814257274
 
0.00  0.51     -61013.1013533874    -61024.84098084  -61024.8409808401
 
0.00  0.54     -61013.1013533135  -61025.0675458645  -61025.0675458645
 
0.00  0.57     -61013.1013533692  -61025.2574520357  -61025.2574520357
 
0.00  0.6      -61013.101353311  -61025.4039520519  -61025.4039520519
 
0.00  0.63     -61013.1013533263  -61025.4994727709  -61025.4994727709
 
0.00  0.66     -61013.1013533909  -61025.5395514429  -61025.5395514429
 
0.00  0.69     -61013.1013534189  -61025.5262148234  -61025.5262148235
 
0.00  0.72     -61013.1013533163  -61025.4706510688  -61025.4706510689
 
0.00  0.75     -61013.1013532804  -61025.3968381605  -61025.3968381605
 
0.00  0.78     -61013.1013535051  -61025.3428498442  -61025.3428498442
 
0.00  0.81     -61013.1013533694  -61025.3453554213  -61025.3453554213
 
0.00  0.84     -61013.1013534204  -61025.4013272942  -61025.4013272942
 
0.00  0.87     -61013.1013535055  -61025.4807925849  -61025.4807925848
 
0.00  0.9      -61013.101353523  -61025.5615305633  -61025.5615305633
 
0.00  0.93     -61013.1013533612   -61025.631799597   -61025.631799597
 
0.00  0.96     -61013.1013535363  -61025.6844041029   -61025.684404103
 
0.00  0.99     -61013.1013534047  -61025.7119526756  -61025.7119526756
 
0.00  1.00     -61013.1013536014  -61025.7143929169   -61025.714392917
 
0.04  0.00     -61013.1013533572  -61025.7039062405  -61025.7039062405
 
0.04  0.03     -61013.1013534458   -61025.688448595   -61025.688448595
 
0.04  0.06     -61013.1013534888  -61025.6345854612  -61025.6345854612
 
0.04  0.09     -61013.1013532794  -61025.5370385223  -61025.5370385224
 
0.04  0.12      -61013.101353451  -61025.3916233898  -61025.3916233898
 
0.04  0.15     -61013.1013533675  -61025.1956853038  -61025.1956853038
 
0.04  0.18     -61013.1013532824  -61024.9484090716  -61024.9484090716
 
0.04  0.21     -61013.1013534214  -61024.6512995706  -61024.6512995706
 
0.04  0.24      -61013.101353277  -61024.3092044675  -61024.3092044675
 
0.04  0.27     -61013.1013533686  -61023.9320073367  -61023.9320073367
 
0.04  0.3     -61013.1013532573  -61023.5382496216  -61023.5382496217
 
0.04  0.33     -61013.1013534195  -61023.1977060406  -61023.1977060406
 
0.04  0.36     -61013.1013534888  -61023.4804007746  -61023.4804007746
 
0.04  0.39     -61013.1013534141  -61023.7999583926  -61023.7999583926
 
0.04  0.42     -61013.1013535173  -61024.1096934117  -61024.1096934117
 
0.04  0.45     -61013.1013536631  -61024.3966905472  -61024.3966905472
 
0.04  0.48     -61013.1013534061  -61024.6566056864  -61024.6566056864
 
0.04  0.51     -61013.1013534442  -61024.8887908637  -61024.8887908638
 
0.04  0.54     -61013.1013535271  -61025.0930587972  -61025.0930587972
 
0.04  0.57     -61013.1013534575  -61025.2666713436  -61025.2666713436
 
0.04  0.6      -61013.101353366  -61025.4025748684  -61025.4025748684
 
0.04  0.63     -61013.1013534678  -61025.4919239459  -61025.4919239459
 
0.04  0.66     -61013.1013533178   -61025.528956601   -61025.528956601
 
0.04  0.69     -61013.1013534286  -61025.5147592722  -61025.5147592722
 
0.04  0.72     -61013.1013534896  -61025.4601164673  -61025.4601164673
 
0.04  0.75     -61013.1013536405  -61025.3891468686  -61025.3891468686
 
0.04  0.78     -61013.1013533438  -61025.3389983976  -61025.3389983976
 
0.04  0.81     -61013.1013535242  -61025.3422911386  -61025.3422911386
 
0.04  0.84     -61013.1013535572  -61025.3959891777  -61025.3959891777
 
0.04  0.87     -61013.1013535502  -61025.4731120508  -61025.4731120508
 
0.04  0.9     -61013.1013534215  -61025.5519394079  -61025.5519394079
 
0.04  0.93     -61013.1013537088  -61025.6203115219  -61025.6203115219
 
0.04  0.96     -61013.1013535209  -61025.6711466266  -61025.6711466266
 
0.04  0.99     -61013.1013534226  -61025.7002464215  -61025.7002464215
 
0.04  1.00     -61013.1013533572  -61025.7039062405  -61025.7039062405
 
0.08  0.00     -61013.1013534961  -61025.6718763527  -61025.6718763527
 
0.08  0.03      -61013.101353608  -61025.6630015683  -61025.6630015683
 
0.08  0.06      -61013.101353105  -61025.6173599822  -61025.6173599822
 
0.08  0.09     -61013.1013533315  -61025.5291640678  -61025.5291640679
 
0.08  0.12     -61013.1013533258  -61025.3942446342  -61025.3942446342
 
0.08  0.15     -61013.1013531656   -61025.210348724   -61025.210348724
 
0.08  0.18     -61013.1013531911   -61024.977267202   -61024.977267202
 
0.08  0.21     -61013.1013531057  -61024.6973507844  -61024.6973507845
 
0.08  0.24     -61013.1013532136  -61024.3767333641  -61024.3767333641
 
0.08  0.27      -61013.101353209  -61024.0277480843  -61024.0277480843
 
0.08  0.3     -61013.1013534829  -61023.6747970339  -61023.6747970339
 
0.08  0.33     -61013.1013534339  -61023.5050337622  -61023.5050337622
 
0.08  0.36     -61013.1013532905  -61023.7237114252  -61023.7237114252
 
0.08  0.39     -61013.1013532294  -61024.0090789416  -61024.0090789416
 
0.08  0.42     -61013.1013534876  -61024.2859982226  -61024.2859982226
 
0.08  0.45     -61013.1013533299  -61024.5396947673  -61024.5396947672
 
0.08  0.48     -61013.1013533106  -61024.7653114775  -61024.7653114775
 
0.08  0.51     -61013.1013534794  -61024.9626152085  -61024.9626152085
 
0.08  0.54     -61013.1013532655  -61025.1327831474  -61025.1327831474
 
0.08  0.57      -61013.101353285  -61025.2759248705  -61025.2759248705
 
0.08  0.6     -61013.1013533832  -61025.3882517537  -61025.3882517537
 
0.08  0.63     -61013.1013532491  -61025.4617324674  -61025.4617324674
 
0.08  0.66     -61013.1013532218  -61025.4891527193  -61025.4891527193
 
0.08  0.69     -61013.1013533665  -61025.4697917778  -61025.4697917778
 
0.08  0.72     -61013.1013533902  -61025.4135807983  -61025.4135807983
 
0.08  0.75     -61013.1013532716  -61025.3446665773  -61025.3446665772
 
0.08  0.78     -61013.1013533465  -61025.2984118644  -61025.2984118644
 
0.08  0.81     -61013.1013534744  -61025.3029845678  -61025.3029845677
 
0.08  0.84     -61013.1013536003   -61025.355640485   -61025.355640485
 
0.08  0.87     -61013.1013535035  -61025.4321368032  -61025.4321368032
 
0.08  0.9     -61013.1013536947  -61025.5112709219  -61025.5112709218
 
0.08  0.93     -61013.1013534378  -61025.5854836493  -61025.5854836493
 
0.08  0.96     -61013.1013534757  -61025.6369063403  -61025.6369063404
 
0.08  0.99     -61013.1013534578  -61025.6657116458  -61025.6657116458
 
0.08  1.00     -61013.1013534961  -61025.6718763527  -61025.6718763527
 
0.12  0.00     -61013.1013535997  -61025.6179168089  -61025.6179168088
 
0.12  0.03     -61013.1013532257  -61025.6193374303  -61025.6193374303
 
0.12  0.06     -61013.1013535557  -61025.5852255654  -61025.5852255654
 
0.12  0.09     -61013.1013534431  -61025.5095095701  -61025.5095095701
 
0.12  0.12     -61013.1013531678  -61025.3883585461  -61025.3883585461
 
0.12  0.15     -61013.1013533663  -61025.2201639639  -61025.2201639639
 
0.12  0.18     -61013.1013534811  -61025.0056188004  -61025.0056188004
 
0.12  0.21     -61013.1013531879   -61024.748261811   -61024.748261811
 
0.12  0.24     -61013.1013535324  -61024.4558460613  -61024.4558460613
 
0.12  0.27     -61013.1013534812  -61024.1435386717  -61024.1435386717
 
0.12  0.3     -61013.1013533711  -61023.8595722415  -61023.8595722415
 
0.12  0.33     -61013.1013534021  -61023.8020311667  -61023.8020311667
 
0.12  0.36     -61013.1013535564  -61023.9771148932  -61023.9771148932
 
0.12  0.39     -61013.1013535367  -61024.2304914884  -61024.2304914884
 
0.12  0.42     -61013.1013533807  -61024.4770434483  -61024.4770434483
 
0.12  0.45     -61013.1013533835  -61024.6995420848  -61024.6995420848
 
0.12  0.48     -61013.1013535708  -61024.8917753114  -61024.8917753115
 
0.12  0.51     -61013.1013533621  -61025.0529406949  -61025.0529406949
 
0.12  0.54     -61013.1013534052  -61025.1845578211  -61025.1845578211
 
0.12  0.57     -61013.1013534865  -61025.2886987893  -61025.2886987892
 
0.12  0.6     -61013.1013532307  -61025.3662229896  -61025.3662229896
 
0.12  0.63     -61013.1013533123  -61025.4135312669  -61025.4135312668
 
0.12  0.66     -61013.1013534017   -61025.423756044   -61025.423756044
 
0.12  0.69     -61013.1013533858  -61025.3940737152  -61025.3940737153
 
0.12  0.72     -61013.1013533201  -61025.3328194286  -61025.3328194286
 
0.12  0.75     -61013.1013535252  -61025.2641951919  -61025.2641951919
 
0.12  0.78     -61013.1013534988  -61025.2213800681  -61025.2213800681
 
0.12  0.81     -61013.1013533777  -61025.2277190376  -61025.2277190377
 
0.12  0.84     -61013.1013532912  -61025.2805575331  -61025.2805575331
 
0.12  0.87     -61013.1013536014  -61025.3579871042  -61025.3579871043
 
0.12  0.9     -61013.1013536043  -61025.4445864616  -61025.4445864616
 
0.12  0.93      -61013.101353459  -61025.5168626931  -61025.5168626931
 
0.12  0.96     -61013.1013536485  -61025.5730533259  -61025.5730533259
 
0.12  0.99     -61013.1013533712  -61025.6089588196  -61025.6089588197
 
0.12  1.00     -61013.1013535997  -61025.6179168089  -61025.6179168088
 
0.16  0.00     -61013.1013533191  -61025.5423110542  -61025.5423110542
 
