th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    1.622768 	     1.174727 	  -6.95818857 
    1.622768 	     1.249384 	  -6.95817234 
    1.622768 	     1.302715 	  -6.95816178 
    1.622768 	     1.342715 	  -6.95815485 
    1.622768 	     1.398718 	  -6.95814651 
    1.622768 	     1.436056 	  -6.95814207 
    1.622768 	     1.622768 	  -6.95813389 
    1.622768 	     1.782835 	  -6.95808641 
    1.622768 	     1.846869 	  -6.95807328 
    1.622768 	     1.902901 	  -6.95806411 
    1.622768 	     1.942926 	  -6.95805848 
    1.622768 	     1.996294 	  -6.95805191 
    1.622768 	     2.071014 	   -6.9580439 
    1.622768 	     2.183101 	  -6.95803384 
