th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    1.782679 	     1.276493 	  -7.19242211 
    1.782679 	     1.310243 	  -7.19241489 
    1.782679 	     1.388991 	  -7.19239941 
    1.782679 	     1.445237 	  -7.19238952 
    1.782679 	     1.487421 	  -7.19238282 
    1.782679 	     1.546477 	  -7.19237454 
    1.782679 	     1.613967 	  -7.19236696 
    1.782679 	     1.698326 	  -7.19236102 
    1.782679 	     1.782679 	  -7.19235694 
    1.782679 	     1.867028 	  -7.19234378 
    1.782679 	     1.979484 	    -7.192331 
    1.782679 	     2.018841 	  -7.19232819 
    1.782679 	     2.077875 	    -7.192325 
    1.782679 	     2.176256 	  -7.19232172 
    1.782679 	     2.254955 	  -7.19232048 
    1.782679 	     2.372991 	  -7.19232048 
