th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    0.537754 	     0.095624 	  -6.95876358 
    0.537754 	     0.144734 	  -6.95876918 
    0.537754 	     0.200864 	  -6.95877413 
    0.537754 	     0.242966 	  -6.95878389 
    0.537754 	     0.301913 	  -6.95878739 
    0.537754 	     0.341214 	  -6.95879247 
    0.537754 	     0.369287 	   -6.9587983 
    0.537754 	     0.390343 	  -6.95880003 
    0.537754 	     0.537754 	  -6.95882405 
    0.537754 	     0.668812 	  -6.95875629 
    0.537754 	     0.706262 	  -6.95873781 
    0.537754 	     0.734350 	  -6.95872459 
    0.537754 	     0.773675 	  -6.95870858 
    0.537754 	     0.832667 	  -6.95868083 
    0.537754 	     0.930997 	  -6.95864399 
