th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    1.276839 	     0.315623 	  -7.19292339 
    1.276839 	     0.411705 	   -7.1928971 
    1.276839 	     0.490326 	  -7.19287233 
    1.276839 	     0.555848 	  -7.19285018 
    1.276839 	     0.611294 	  -7.19283094 
    1.276839 	     0.658820 	  -7.19281269 
    1.276839 	     0.736056 	  -7.19278532 
    1.276839 	     0.796132 	  -7.19276338 
    1.276839 	     0.844195 	  -7.19274604 
    1.276839 	     0.883521 	  -7.19273212 
    1.276839 	     0.916293 	  -7.19272078 
    1.276839 	     0.988395 	  -7.19269695 
    1.276839 	     1.276839 	   -7.1926242 
    1.276839 	     1.637459 	  -7.19249439 
    1.276839 	     1.709590 	   -7.1924782 
    1.276839 	     1.757677 	  -7.19246846 
    1.276839 	     1.817788 	  -7.19245728 
    1.276839 	     1.895074 	  -7.19244439 
