th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    0.537754 	     0.095624 	  -6.95876559 
    0.537754 	     0.144734 	   -6.9587668 
    0.537754 	     0.200864 	   -6.9587746 
    0.537754 	     0.242966 	  -6.95877809 
    0.537754 	     0.301913 	  -6.95878601 
    0.537754 	     0.341214 	  -6.95879168 
    0.537754 	     0.369287 	  -6.95879583 
    0.537754 	     0.390343 	  -6.95879895 
    0.537754 	     0.537754 	  -6.95881898 
    0.537754 	     0.668812 	  -6.95875508 
    0.537754 	     0.706262 	  -6.95873689 
    0.537754 	     0.734350 	  -6.95872356 
    0.537754 	     0.773675 	  -6.95870558 
    0.537754 	     0.832667 	   -6.9586804 
    0.537754 	     0.930997 	  -6.95864326 
