th12 (degree) 	 th32 (degree) 	 Total Energy (eV/atom) 
    1.622768 	     1.174727 	  -6.95818914 
    1.622768 	     1.249384 	  -6.95817296 
    1.622768 	     1.302715 	  -6.95816238 
    1.622768 	     1.342715 	  -6.95815544 
    1.622768 	     1.398718 	  -6.95814711 
    1.622768 	     1.436056 	  -6.95814271 
    1.622768 	     1.622768 	  -6.95814107 
    1.622768 	     1.782835 	  -6.95808701 
    1.622768 	     1.846869 	  -6.95807382 
    1.622768 	     1.902901 	  -6.95806465 
    1.622768 	     1.942926 	  -6.95805905 
    1.622768 	     1.996294 	  -6.95805243 
    1.622768 	     2.071014 	  -6.95804447 
    1.622768 	     2.183101 	  -6.95803429 
