Ang12(degree)  Ang32(degree)  Natom   Energy_Initial(eV)   Energy_Final(eV)
     1.202325       -0.010739      55138         -383497.702065404  -383586.43768057
     1.202325        0.107388     344618         -2396901.64734535  -2397453.01484544
     1.202325        0.186135     124064         -862895.924902912  -863093.653187833
     1.202325        0.284566     220562         -1534065.35916421  -1534415.54190371
     1.202325        0.343622     344632         -2397006.00295057  -2397552.00878057
     1.202325        0.411112     675488         -4698200.91664267  -4699267.67226179
     1.202325        0.461728    1378562         -9588277.34950429  -9590453.56086989
     1.202325        0.501094    3101792         -21573828.9000572  -21578732.7784546
     1.202325        0.579824      13786         -95885.6040127185  -95907.6267613518
     1.202325        0.658550    3101912         -21574722.5879318  -21579534.3593309
     1.202325        0.697911    1378642         -9588873.13519179  -9590983.16339032
     1.202325        0.748516     675544         -4698617.95846396  -4699635.16022779
     1.202325        0.815986     344672         -2397303.87899356  -2397812.11497406
     1.202325        0.875019     220594         -1534303.64991743  -1534623.17926933
     1.202325        0.973401     124088         -863074.626631569  -863249.642391983
     1.202325        1.052100     344698         -2397497.26500438  -2397973.22444757
     1.202325        1.170136      55154         -383616.805429611  -383690.701905494
     1.202325        1.288158     344728         -2397720.17080758  -2398170.01440643
     1.202325        1.366830     124106         -863208.365617255  -863367.64502876
     1.202325        1.465159     220642         -1534660.26379363  -1534937.90112378
     1.202325        1.524151     344762         -2397972.49523255  -2398401.62442944
