Ang12(degree)  Ang32(degree)  Natom   Energy_Initial(eV)   Energy_Final(eV)
     1.202325        0.579824      13786         -95885.6040127005  -95904.7077828487
     1.202325        1.170136      55154         -383616.805429616  -383690.800967906
