Ang12(degree)  Ang32(degree)  Natom   Energy_Initial(eV)   Energy_Final(eV)
    -1.202855       -0.010739      55122         -383389.677190247  -383477.34792581
    -1.202855        0.186135     124028         -862652.868930839  -862849.160992998
    -1.202855        0.579824      13782         -95858.5977926159  -95877.7870652314
    -1.202855        0.973401     124052         -862831.570637923  -863009.831923021
    -1.202855        1.170136      55138         -383508.780540071  -383584.160366238
    -1.202855        1.366830     124070         -862965.309607009  -863126.15286481
