Ang12(degree)  Ang32(degree)  Natom   Energy_Initial(eV)   Energy_Final(eV)
     1.202325       -0.010739      55138         -383501.386384246  -383600.75046047
     1.202325        0.107388     344618         -2396924.674338  -2397548.9556909
     1.202325        0.186135     124064         -862904.214620264  -863129.090853976
     1.202325        0.284566     220562         -1534080.09643951  -1534476.82066211
     1.202325        0.343622     344632         -2397029.02994324  -2397647.9592964
     1.202325        0.411112     675488         -4698246.04954836  -4699456.77626978
     1.202325        0.461728    1378562         -9588369.45747516  -9590836.71764855
     1.202325        0.579824      13786         -95886.525092441  -95911.2032130986
     1.202325        0.697911    1378642         -9588965.24316263  -9591361.75941732
     1.202325        0.748516     675544         -4698663.09136965  -4699823.1628936
     1.202325        0.815986     344672         -2397326.90598625  -2397908.84657346
     1.202325        0.875019     220594         -1534318.38719274  -1534685.43288959
     1.202325        0.973401     124088         -863082.916348922  -863283.983106794
     1.202325        1.052100     344698         -2397520.29199707  -2398069.24595047
     1.202325        1.170136      55154         -383620.489748431  -383705.964314532
     1.202325        1.288158     344728         -2397743.19780022  -2398265.46290579
     1.202325        1.366830     124106         -863216.655334609  -863401.906709398
     1.202325        1.465159     220642         -1534675.00106894  -1534998.96064328
     1.202325        1.524151     344762         -2397995.52222521  -2398497.22083135
