Ang12(degree)  Ang32(degree)  Natom   Energy_Initial(eV)   Energy_Final(eV)
    -1.202855        0.186135     124028         -862661.151328411  -862882.445303292
    -1.202855        0.579824      13782         -95859.518059029  -95882.5276516032
    -1.202855        1.170136      55138         -383512.461605657  -383599.720340189
