Ang12(degree)  Ang32(degree)  Natom   Energy_Initial(eV)   Energy_Final(eV)
     1.202325        0.579824      13786         -95885.6040127213  -95906.8255865055
     1.202325        1.170136      55154         -383616.805429611  -383690.776744156
