Ang12(degree)  Ang32(degree)  Natom   Energy_Initial(eV)   Energy_Final(eV)
    -1.202855        0.186135     124028         -862661.151328284  -862882.445303166
    -1.202855        0.579824      13782         -95859.5180589783  -95882.3407920994
    -1.202855        1.170136      55138         -383512.461605597  -383599.574415661
