x  	  y  	  stackinginfo
      0.0000000000	      0.0000000000	0
      2.1467207574	      1.2997070504	0
      4.2924530739	      2.5968218427	0
      6.4367367862	      3.8910995001	0
      8.5800485312	      5.1821963014	0
     10.7234692084	      6.4702051182	0
     12.8682687509	      7.7555041464	4
     15.0154788279	      9.0385190805	4
     17.1656430762	     10.3195546659	2
     19.3187992706	     11.5987509180	2
     21.4746245143	     12.8761401684	2
     23.6326279245	     14.1517377894	2
     25.7923034795	     15.4256083699	2
     27.9532121667	     16.6978867064	2
     30.1150053639	     17.9687647737	2
     32.2774160527	     19.2384659747	2
     34.4402395740	     20.5072219529	2
     36.6033150987	     21.7752577708	2
     38.7665112626	     23.0427852154	2
     40.9297158731	     24.3100018641	2
     43.0928286132	     25.5770935322	2
     45.2557557199	     26.8442383303	2
     47.4184059380	     28.1116111726	2
     49.5806874053	     29.3793879126	2
     51.7425053883	     30.6477484439	2
     53.9037610041	     31.9168781368	2
     56.0643512387	     33.1869669829	2
     58.2241706097	     34.4582059826	2
     60.3831147479	     35.7307806324	2
     62.5410862540	     37.0048614081	2
     64.6980038424	     38.2805900247	2
     66.8538144508	     39.5580614890	2
     69.0085065949	     40.8373042494	2
     71.1621227008	     42.1182611977	2
     73.3147677470	     43.4007749733	2
     75.4666117688	     44.6845812129	2
     77.6178847212	     45.9693128025	2
     79.7688635804	     47.2545169174	5
     81.9198528483	     48.5396848269	5
     84.0711604702	     49.8242922711	5
     86.2230716123	     51.1078459516	1
     88.3758231722	     52.3899297781	1
     90.5295824623	     53.6702435846	1
     92.6844337586	     54.9486276292	1
     94.8403755789	     56.2250685816	1
     96.9973293709	     57.4996865814	1
     99.1551573342	     58.7727073338	1
    101.3136839335	     60.0444274904	1
    103.4727154467	     61.3151827210	1
    105.6320568200	     62.5853200666	1
    107.7915241428	     63.8551762943	1
    109.9509513715	     65.1250648293	1
    112.1101920639	     66.3952707481	1
    114.2691176727	     67.6660517632	1
    116.4276138382	     68.9376431086	1
    118.5855758082	     70.2102645412	1
